image_path,alt_text,caption,tags
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_10.jpg,Kuha Karuhas Royal Pavilion in the Phraya Nakhon Cave,01-%E0%B8E%E0%B8%A3%E0%B8%B0%E0%B8%E0%B8%B5%E0%B9%E0%B8%E0%B8%B1%E0%B9%E0%B8%E0%B8%E0%B8%B9%E0%B8%AB%E0%B8%B2%E0%B8%E0%B8%A4%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%E0%B9C.jpg," Phraya Nakhon Cave, Crepuscular rays, 1 building, Cinematic style photography, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_11.jpg,Bearded vulture searching for food and finding a piece of carcass,010e_Wild_Bearded_Vulture_in_flight_at_Pfyn-Finges_Switzerland_Photo_by_Giles_Laurent.jpg," Gypaetus barbatus in flight, Gypaetus barbatus in Switzerland, Birds of the canton of Valais, Animals in Leukerbad, Gemmipass, December 2021 in the canton of Valais, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_12.jpg,Uganda kobs mating at Queen Elizabeth National Park,035_Uganda_kobs_mating_at_Queen_Elizabeth_National_Park_Photo_by_Giles_Laurent.jpg," Kobus kob thomasi in Queen Elizabeth National Park, Kobus kob thomasi mating, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_13.jpg,Usambiro barbet (Trachyphonus usambiro) in the Serengeti National Park in Tanzania,036_Usambiro_barbet_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg," Perched birds, Aves in right lateral aspect, 1 bird, Trachyphonus darnaudii usambiro, Piciformes of Tanzania, Birds of Serengeti National Park, Nature of Africa in 2024, Nature in July 2024, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_14.jpg,,04-09-12-Schaupfl%C3%BCgen-Fahrenwalde-RalfR-IMG_1232.jpg," Plowing with horses in Germany, Peasants in the 21st century, 2004 in Fahrenwalde, Horses of Mecklenburg-Vorpommern, September 2004 Germany photographs, Breastcollar harness, Horse ploughing contests, Farmers from Germany, Peasants from Germany, Chestnut with flaxen horses, Horses in full white stage of graying, Ploughers, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_15.jpg,Camel Profile,07._Camel_ProfileC_near_SilvertonC_NSWC_07.07.2007.jpg," Camelus dromedarius, Silverton, New South Wales, Camels in Australia, Animals in the Bible, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_16.jpg,,07._Japanese_Garden_PanoC_CowraC_NSWC_22.09.2006.jpg," Japanese Garden, Cowra, September 2006 in Cowra, Lookouts in New South Wales, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_17.jpg,07R01  IF Amplifier/Demodulator Integrated Circuit,07R01.jpg," Wire bonding, Integrated circuit dies, Focus stacking images of electronic components, Gold objects, Motorola integrated circuits, Freescale integrated circuits, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_18.jpg,Wild female Alpine Ibex at Creux du Van,094_Wild_female_Alpine_Ibex_at_Creux_du_Van_Photo_by_Giles_Laurent.jpg," Capra ibex (female), Creux-du-Van, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_19.jpg,"Aerial view of Dubrovnik, Croatia",1_dubrovnik_pano_-_edit1.jpg," Aerial view of Dubrovnik, Panoramics of old city of Dubrovnik, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_20.jpg,Epcot Illuminations at Walt Disney World Orlando in 2010,1_epcot_illuminations_2010.jpg," IllumiNations: Reflections of Earth, Water reflections in Florida, Illuminated buildings in Florida, White fireworks, Purple fireworks, Fireworks in 2010, May 2010 in Florida, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_21.jpg,Singapore National Day Parade 2011 fireworks preview marina bay sands floating platform.,1_singapore_national_day_parade_2011_fireworks.jpg," National Day Parade 2011, Fireworks in Singapore, Marina Bay, Singapore, at night, Fireworks in 2011, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_22.jpg,,1_toledo_spain_evening_sunset_2014.jpg," Cityscapes of Toledo, Spain, Panoramics in Toledo, Spain, Toledo, Spain in the 2010s, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_23.jpg,"Five fingers peak. Quartzite sandstone Huangshizhai Zhangjiajie Wulingyuan Hunan, China. Panorama 2012.",1_zhangjiajie_huangshizhai_wulingyuan_panorama_2012.jpg," Wulingyuan, Zhangjiajie scenic areas, Panoramas of China, Panoramics in Hunan, Sandstone formations in China, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_24.jpg,,1000_rupiah_billC_2000_series__dateC_processedC_obverseBreverse.jpg," 1000 rupiah banknotes of Indonesia, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_25.jpg,,1000_Spanish_pesetas.jpg," 1000 pesetas banknotes, 1957 banknotes, Catholic Monarchs, 1957 in Spain, Banknotes of the Franco dictatorship, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_26.jpg,,10000_rupiah_billC_2010_revision__dateC_processedC_obverseBreverse.jpg," 10000 rupiah banknotes of Indonesia, Limas houses, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_27.jpg,,100000_rupiah_billC_2011_revision__dateC_processedC_obverseBreverse.jpg," 100000 rupiah banknotes of Indonesia, Kompleks Parlemen Republik Indonesia, Sukarno on banknotes, Mohammad Hatta on banknotes, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_28.jpg,,11-09-fotofluege-cux-allg-25a.jpg," Mittelplate A, Marine architecture, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_29.jpg,,13-06-07_RaR_Biffy_Clyro_Simon_Neil_02.jpg," Biffy Clyro - Rock am Ring 2013, Simon Neil, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_30.jpg,Montage of 8 pages (the third to sixth leaves) of the original 1375 Catalan Atlas,1375_Atlas_Catalan_Abraham_Cresques.jpg," Catalan Atlas, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_31.jpg,Jeremy Doyle.  2011,140611_-_Jeremy_Doyle_-_3a_-_2012_Team_processing.jpg," Australian Paralympic Team Member portraits, Jeremy Doyle, Men facing left and looking at viewer, Men wearing blue shirts, People of Australia in 2011, Portrait photographs of men with gray background, Portrait photographs of men smiling, Sportspeople in 2011, 2012 Australian paralympic shadow wheelchair basketball team, 21st-century portrait photographs of standing men at bust length in Oceania, 21st-century portraits of men, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_32.jpg,,140611_-_Maddison_Elliott_-_3b_-_2012_Team_processing.jpg," 2012 Australian paralympic shadow swim team, Maddison Elliott, Australian Paralympic Team Member portraits, S8 classification, SB8 classification, SM8 classification, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_33.jpg,,140823_M%C3%A4rchendom_Saalfelder_Feengrotten.jpg," Underground lakes in Germany, 2014 in Thuringia, Feengrotten, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_34.jpg,"Stylized world map in the shape of a clover-leaf (the three classical continents of Europe, Asia, Africa), with Jerusalem at the center, with additional indication of Great Britain, Scandinavia and America / the New World",1581_Bunting_clover_leaf_map.jpg," Maps using Jerusalem prime meridian, 1580s maps of the world, German-language maps, Engraved maps, 16th-century woodcuts, Cloverleaves in art, Old maps of the Holy Land, 1581 in Magdeburg, Bünting Clover Leaf Map, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_35.jpg,,16_wood_samples.jpg," Wood textures, Wood grain, Dendrology, Pinus sylvestris wood, Pine wood objects, Picea abies wood, Spruce wood, Larch wood, Juniper wood, Aspen wood, Hornbeam wood, Betula pubescens (wood), Objects from birch, Alnus glutinosa wood, European beech wood, Quercus robur (wood), Elm objects, Cherry wood objects, Pyrus communis, Pear wood, Acer platanoides (wood), Maple objects, Tilia cordata, Lime wood, Ash wood objects, Wood samples, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_36.jpg,Legong Bapang Saba Dance,17_Years_of_Sekar_Jepun_2014-11-01_03.jpg," Dance of Bali, Sekar Jepun, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_37.jpg,Cendrawasih Dance,17_Years_of_Sekar_Jepun_2014-11-01_05.jpg," Cendrawasih dance, Sekar Jepun, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_38.jpg,,17_Years_of_Sekar_Jepun_2014-11-01_11.jpg," Sekar Jepun, Baris (dance), "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_39.jpg,Oleg Tamulilingan Dance,17_Years_of_Sekar_Jepun_2014-11-01_32.jpg," Sekar Jepun, Dance of Bali, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_40.jpg,Cendrawasih Dance,17_Years_of_Sekar_Jepun_2014-11-01_42.jpg," Cendrawasih dance, Sekar Jepun, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_41.jpg,Cendrawasih Dance,17_Years_of_Sekar_Jepun_2014-11-01_44.jpg," Cendrawasih dance, Sekar Jepun, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_42.jpg,Panyembrama Dance,17_Years_of_Sekar_Jepun_2014-11-01_48.jpg," Panyembrama, Sekar Jepun, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_43.jpg,Kebyar Duduk Dance,17_Years_of_Sekar_Jepun_2014-11-01_64_edit.jpg," Sekar Jepun, Kebyar Duduk, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_44.jpg,,17_Years_of_Sekar_Jepun_2014-11-01_72.jpg," Condong, Sekar Jepun, People of Bali, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_45.jpg,"Map of Scandinavia, Norway, Sweden, Denmark, Finland and the Baltics (undated - no earlier than 1743).",1730_Homann_Map_of_ScandinaviaC_NorwayC_SwedenC_DenmarkC_Finland_and_the_Baltics_-_Geographicus_-_Scandinavia-homann-1730.jpg," Johann Baptist Homann, 18th-century maps of Scandinavia, 18th-century maps of Finland, 1730s maps of Norway, 1730s maps of Sweden, 1730s maps of Denmark, Latin-language maps, 18th-century maps of Estonia, Old maps of the Polish-Lithuanian Commonwealth, 1730s maps of Lithuania, 1730s maps of Russia, 18th-century maps of Latvia, 18th-century maps of the Baltic Sea, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_46.jpg,,1783_balloonj.jpg," Hot air balloon of the first human flight, Book illustrations of France, 1786 works in France, Hot air balloons in art, Aircraft on book covers, François Laurent d'Arlandes, Jean-François Pilâtre de Rozier, 1783 in aerostation, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_47.jpg,A 17th century Central Tibetan thanka of Guhyasamaja Akshobhyavajra. Rubin Museum of Art,17th_century_Central_Tibeten_thanka_of_Guhyasamaja_AkshobhyavajraC_Rubin_Museum_of_Art.jpg," Thangka from Tibet, 17th-century paintings in the United States, Tibetan art in the Rubin Museum of Art, Guhyasamaja, Yab-yum images, Tibetan Buddhist iconography, 17th-century paintings from Tibet, Lotus throne, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_48.jpg,An 1801 map of the East Indies.,1801_Cary_Map_of_the_East_Indies_and_Southeast_Asia__SingaporeC_BorneoC_SumatraC_JavaC_Philippines_-_Geographicus_-_EastIndies-cary-1801.jpg," 19th-century maps of the Malay Archipelago, 19th-century maps of Southeast Asia, 19th-century maps of Thailand, Maps of the Dutch East Indies, English-language maps, Cary's New Universal Atlas, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_49.jpg,,1804_Silver_Dollar_Class_III.jpg," 1804 dollar, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_50.jpg,,1855_Ary_Scheffer_-_The_Ghosts_of_Paolo_and_Francesca_Appear_to_Dante_and_Virgil.jpg," Les ombres de Francesca da Rimini et de Paolo Malatesta apparaissent à Dante et à Virgile, 1850s paintings in the Louvre, 19th-century nude paintings in the Louvre, 1855 oil on canvas paintings, 1855 paintings of people, 1855 paintings from the Netherlands, 1855 paintings in France, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_51.jpg,,1863_Meeting_of_Settlers_and_Maoris_at_Hawkes_BayC_New_Zealand.jpg," Adam Cuerden's restorations, The Illustrated London News 1863, Mason Jackson, Maori history, 1863 engravings, 1863 in New Zealand, Engravings of people, Wheelbarrows in art, Interpreters, Waiohiki, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_52.jpg,"The Storm (1880). Oil on canvas, 234.3 × 156.8 cm (92.2 × 61.7 in).Metropolitan Museum of Art, New York",1880_Pierre_Auguste_Cot_-_The_Storm.jpg," The Storm (Pierre Auguste Cot), "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_53.jpg,,1899_Michigan_Wolverines_football_team.jpg," 1899 Michigan Wolverines football team, Group photographs of Michigan Wolverines football team, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_54.jpg,"Poster image of The Black Patti, 1899",1899_poster_of_Mme._M._Sissieretta_Jones.jpg," Adam Cuerden's restorations, 1899 theatre posters of the United States, Matilda Sissieretta Joyner Jones, MME letter combinations, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_55.jpg,,1909_Pittsburgh_Pirates_on_a_boat_FINAL.jpg," 1909 in Major League Baseball, National League, Pittsburgh Pirates, Fictional ships, Walking the plank, Fred Clarke, Deacon Phillippe, Howie Camnitz, Bill Abstein, Chief Wilson, Ham Hyatt, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_56.jpg,Map of the Great Trigonometrical Survey of India,1922_Index_of_Great_Trigonometrical_Survey_of_India.jpg," Geodesic maps, Great Trigonometrical Survey (Old Map), Index maps, 1922 maps of India, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_57.jpg,"Plenty of Base Hits in These Bats: Sluggers from All-Star teams which met at the July 7, 1937 game at Griffith Stadium in Washington, D.C.  (L/R): Lou Gehrig, Joe Cronin, Bill Dickey, Joe DiMaggio, Charlie Gehringer, Jimmie Foxx, and Hank Greenberg.",1937_all_stars_crop_FINAL2.jpg," 1937 Major League Baseball All-Star Game, Baseball players with baseball bats, Black and white photographs of Major League Baseball in the 1930s, Black and white photographs of Washington, D.C., Group photographs of sportspeople, Group portraits with 7 people, Joe Cronin, Bill Dickey, Joe DiMaggio in 1937, Jimmie Foxx, Lou Gehrig, Charlie Gehringer, Hank Greenberg, July 1937 United States photographs, Men wearing baseball caps in the United States, NBC Sports Radio, Sportspeople from the United States in 1937, 20th-century black and white group portrait photographs of men, 20th-century group portrait photographs of standing men, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_58.jpg,Mantra-Rock Dance poster,1967_Mantra-Rock_Dance_Avalon_poster.jpg," Mantra-Rock Dance, Music in 1967, 1967 posters of the United States, Concert posters of the United States, Theaters in San Francisco, Allen Ginsberg, Big Brother and the Holding Company, Grateful Dead, Moby Grape, Hippie art and design, Posters of California, Prabhupada, Reversed ampersands, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_59.jpg,Cannikin warhead being lowered into test shaft,1971-CANNIKIN-2.jpg," Cannikin test, Nuclear explosives (test devices), "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_60.jpg,,1997_F-4_Heritage_Flight_over_Florida-edit_1.jpg," QF-4E Phantom II, Aerial photographs of F-4 Phantom II in flight, F-4 Phantom II camouflage, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_61.jpg,,1alessandromartinelli2015.jpg," Shooting (association football), People with association football balls of Puma, Association football balls on grass, Kicking (association football), Alessandro Martinelli, Number 25 on association football kits, Modena FC v Ternana Calcio, 16 May 2015, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_62.jpg,,2000_rupiah_billC_2009_series__dateC_processedC_obverseBreverse.jpg," 2000 rupiah banknotes of Indonesia, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_63.jpg,,20000_rupiah_billC_2011_revision__dateC_processedC_obverseBreverse.jpg," 20000 rupiah banknotes of Indonesia, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_64.jpg,,2003_Mazda_6_GG_Classic_hatchback_01.jpg," Mazda6 (GG), Silver Mazda liftbacks, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_65.jpg,Jet pilot ejecting from jet before crash,2003_Thunderbirds_Mountain_Home_airshow_crash_ejection.jpg," 2003 USAF Thunderbirds F-16C crash, F-16C/D Fighting Falcon (USAF Thunderbirds) in flight, Groups of dissimilar vehicles, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_66.jpg,"2004 Tsunami in Ao Nang, Krabi province in Thailand",2004-tsunami.jpg," 2004 Indian Ocean tsunami in Thailand, Ao Nang beach, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_67.jpg,,2006_American_Buffalo_Proof_Obverse.jpg," American Gold Buffalo, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_68.jpg,,2006_American_Buffalo_Proof_Reverse.jpg," American Gold Buffalo, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_69.jpg,,2007_swifts_creek_lawnmower_races04_edit.jpg," Racing lawn mowers, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_70.jpg,"Chris Young warming up for the San Diego Padres with his four-seam fastball prior to his start against the Chicago Cubs at Wrigley Field on June 16, 2007.",20070616_Chris_Young_visits_Wrigley_-edit3.jpg," Chris Young (pitcher), 2007 San Diego Padres season, Wrigley Field visitor's bullpen (before 2017), Wrigley Field center field scoreboard, Wrigley Field bleachers and outfield, Wrigley Field batter's eye, Wrigley Field outfield wall ivy, June 2007 in Chicago, Baseball game action shots at Wrigley Field, 2007 Chicago Cubs season, Baseball practice, Wrigley Field center field message board, Best Buy, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_71.jpg,,20080406165033V-22_Osprey_refueling_edit1.jpg," Pictures of the Year/2010 (finalist), MV-22B Osprey, Aircraft light trails, Green and red, Night in Iraq, Marine Medium Tiltrotor Squadron 263, 2008 in aviation in Iraq, Aircraft lights, Military aircraft at night, Helicopters at night, Aircraft propellers at night, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_72.jpg,,2009_LPGA_Championship_-_Morgan_Pressel-edit.jpg," Morgan Pressel, Women wearing baseball caps in the United States, 2009 LPGA Championship, Navy blue and yellow female clothing, Women wearing yellow skirts, Women wearing navy shirts, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_73.jpg,,20090524_Buildings_along_Chicago_River_line_the_south_border_of_the_Near_North_Side_and_Streeterville_and_the_north_border_of_Chicago_LoopC_Lakeshore_East_and_Illinois_Center.jpg," Chicago River, Lake Shore Drive, Chicago Loop in 2009, Lakeshore East, Near North Side, Chicago, High-rises in Chicago, Streeterville, Distant views of Trump International Hotel and Tower (Chicago), Michigan Avenue Bridge, Onterie Center, Link Bridge (Lake Shore Drive), Aqua (skyscraper), The Lancaster, Swissôtel Chicago, The Buckingham (Chicago), River North (Chicago), The Regatta, Chicago Riverwalk, Riverview Condominiums, Chicago Spire site, 875 North Michigan Avenue, Bicycles in Chicago, May 2009 in Chicago, 303 East Wacker, 474 North Lake Shore Drive, 111 East Wacker, Hyatt Regency Chicago, 233 East Wacker, Panoramics of Chicago, Pugh Terminal building, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_74.jpg,,20090719_Crkva_Gospa_od_Zdravlja_Kotor_Bay_Montenegro.jpg," Church of Our Lady of Remedy in Kotor, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_75.jpg,,2010_G-20_Seoul_summit.jpg," 2010 G-20 Seoul summit family pictures, David Cameron and Manmohan Singh, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_76.jpg,,2010_mavericks_competition.jpg," Breaking ocean waves in the United States, February 2010 in California, Mavericks, Sportspeople in 2010, Male people wearing yellow clothing, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_77.jpg,Large Kodiak Bear standing still,2010-kodiak-bear-1.jpg," Qaranbullee, Saayinsii, Bears in Kodiak National Wildlife Refuge, Summer in Alaska, Carnivores, Ursus arctos middendorffi, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_78.jpg,,2011_flooding_in_Ayutthaya_Province-EO-1_merged.jpg," 2011 Thailand floods, NASA Earth Observing-1 images, Satellite pictures of Thailand, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_79.jpg,,2011_Winter_in_Alaska.jpg," 2011 in Alaska, NASA MODIS images of North America, Satellite pictures of Alaska, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_80.jpg,,20110419_Ani_North_Walls_Turkey_Panorama.jpg," Walls of Ani, Panoramics in Kars, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_81.jpg,,2012-bb-jackal-1.jpg," Lupulella mesomelas mesomelas in Etosha National Park, Lupulella mesomelas eating, Antidorcas marsupialis of Etosha National Park, Antidorcas marsupialis (dead), Side views of canids, March 2012 in Namibia, Carnivora on grass, Canidae with prey, Scavenging in Namibia, Lupulella mesomelas looking at viewer, "
c:\Users\User\Documents\DCU_MSC\Semester4\Mechanics of search\Assignment_2\Image_db\img_82.jpg,,2013_Ahmanson_Cup_Regatta_yacht_Zapata_II_b_photo_D_Ramey_Logan.jpg," Zapata II (ship, 1964), Ahmanson Cup Regatta, 2013 in sailing, "
